Country_name,Country_ISO3_code,Cumulative_cases
Saudi Arabia,SAU,2217
Republic of Korea,KOR,186
United Arab Emirates,ARE,94
Jordan,JOR,28
Qatar,QAT,28
Oman,OMN,26
Iran (Islamic Republic of),IRN,6
United Kingdom of Great Britain and Northern Ireland,GBR,5
Kuwait,KWT,4
Germany,DEU,3
Thailand,THA,3
Tunisia,TUN,3
Algeria,DZA,2
Austria,AUT,2
France,FRA,2
Lebanon,LBN,2
Malaysia,MYS,2
Netherlands,NLD,2
Philippines,PHL,2
United States of America,USA,2
Bahrain,BHR,1
China,CHN,1
Egypt,EGY,1
Greece,GRC,1
Italy,ITA,1
Türkiye,TUR,1
Yemen,YEM,1
